,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
gcvR,1.4851508647793203,34.0,2593264.0,"transcriptional repressor, regulatory protein accessory to GcvA",b2479,
hyfA,1.340767874406814,34.0,2594816.0,"hydrogenase 4, 4Fe-4S subunit",b2481,frozenset({<Reaction FHL at 0x7fcfa6a0e630>})
yfgD,1.3308672173846812,35.0,2611200.0,putative oxidoreductase,b2495,
yfgF,1.3778547686535756,36.0,2621440.0,"cyclic-di-GMP phosphodiesterase, anaerobic",b2503,
yfgJ,1.4025099941306054,37.0,2629120.0,DUF1407 family protein,b2510,
shoB,1.3991849348747245,38.0,2693504.0,toxic membrane protein,b4687,
yfjI,1.5599855451832518,39.0,2752512.0,CP4-57 prophage; uncharacterized protein,b2625,
ypjC,1.4026030743920088,40.0,2777088.0,No_gene_product,b2650,
yqcG,1.5291578894206197,41.0,2898944.0,membrane stress resistance protein,b4682,
yqeJ,1.4380925847696924,42.0,2982662.0,uncharacterized protein,b2848,
yqeL,1.5785281309498216,42.0,2983177.0,uncharacterized protein,b4683,
yqeK,1.5098174698374116,42.0,2983293.0,uncharacterized protein,b2849,
ygeF,1.5111397871650043,42.0,2983936.0,No_gene_product,b2850,
ygeG,1.4572620674282792,42.0,2984626.0,SycD-like chaperone family TPR-repeat-containing protein,b2851,
ygeH,1.5742457016914735,42.0,2985452.0,putative transcriptional regulator,b2852,
ygeI,1.3828832744998212,42.0,2987008.0,uncharacterized protein,b2853,
pbl,1.4028934701494222,42.0,2987297.0,No_gene_product,b2854,
ygeN,1.4751245060156037,42.0,2988672.0,No_gene_product,b2858,
yqgB,1.326202270614301,43.0,3079278.0,uncharacterized protein,b2939,
ygiZ,1.3365092233362745,44.0,3165237.0,inner membrane protein,b3027,
yrbN,1.4049250371690873,45.0,3301248.0,uncharacterized protein,b4685,
yrhB,1.3149063803150247,46.0,3578368.0,stable heat shock chaperone,b3446,
yibW,1.324784156923666,47.0,3762251.0,No_gene_product,b4651,
yibV,1.4783593754551865,47.0,3762704.0,No_gene_product,b4615,
waaU,1.4463086796949138,48.0,3791598.0,lipopolysaccharide core biosynthesis,b3623,frozenset({<Reaction HEPT4 at 0x7fcfa6911358>})
waaS,1.4131151831256785,49.0,3797540.0,lipopolysaccharide rhamnose:KdoIII transferase; lipopolysaccharide core biosynthesis protein,b3629,frozenset({<Reaction RHAT1 at 0x7fcfa661cda0>})
yigG,1.4054409518750144,50.0,3996172.0,PRK11371 family inner membrane protein,b3818,
yjbJ,1.3092533322036333,51.0,4249164.0,"stress-induced protein, UPF0337 family",b4045,
yjbL,1.3593122243031492,51.0,4250248.0,uncharacterized protein,b4047,
yjbS,1.4290878207152296,52.0,4258816.0,uncharacterized protein,b4621,
