,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
gtrS,2.015347224521852,13.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
tfaS,1.5111373816356517,13.0,2464293.0,No_gene_product,b2353,
yfdK,1.6069382633280056,13.0,2464555.0,CPS-53 (KpLE1) prophage; conserved protein,b2354,
yfdM,1.4251195898738753,13.0,2465792.0,No_gene_product,b2356,
yfdN,1.4234351651256114,13.0,2465865.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2357,
yfdQ,1.4806555550883442,13.0,2467840.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2360,
yfdR,1.5144771801028367,13.0,2468462.0,CPS-53 (KpLE1) prophage; conserved protein,b2361,
yfdS,1.6156039656918137,13.0,2468989.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2362,
yfdT,1.5862100460931208,13.0,2469376.0,CPS-53 (KpLE1) prophage; uncharacterized protein,b2363,
ypdJ,1.5406201702174247,13.0,2469659.0,No_gene_product,b4545,
torI,1.5333207146201262,13.0,2469888.0,response regulator inhibitor for tor operon,b4501,
dsdC,1.499478612936788,13.0,2470172.0,dsd operon activator; autorepressor,b2364,
emrY,1.5400066452604646,13.0,2474116.0,putative multidrug efflux system,b2367,
emrK,1.6072872735437223,13.0,2476032.0,multidrug resistance efflux pump membrane fusion protein,b2368,
evgA,1.5103979652161812,13.0,2477233.0,response regulator in two-component regulatory system with EvgS,b2369,
evgS,1.5624111738966318,13.0,2477852.0,hybrid sensory histidine kinase in two-component regulatory system with EvgA,b2370,
yfdE,1.5067968041799795,13.0,2482176.0,acetyl-CoA:oxalate CoA-transferase,b2371,
yfdV,1.6281635866311126,13.0,2482720.0,putative transporter,b2372,
yfdX,1.4585710849150006,13.0,2487245.0,uncharacterized protein,b2375,
ypdI,1.685602799360965,13.0,2488320.0,putative lipoprotein involved in colanic acid biosynthesis,b2376,
yfdY,1.4435306197414055,13.0,2488528.0,DUF2545 family putative inner membrane protein,b2377,
lpxP,1.5545202499836048,13.0,2489123.0,palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase,b2378,frozenset({<Reaction EDTXS3 at 0x7fcfa6a28f28>})
ypdK,1.5504528227500416,13.0,2490399.0,inner membrane protein,b4680,
ypdE,1.3860609652074474,14.0,2498560.0,aminopeptidase,b2384,
fryB,1.5054995441127774,14.0,2501632.0,putative enzyme IIB component of PTS,b2387,
yfeO,1.3541117543437784,14.0,2503108.0,putative ion channel protein,b2389,
ypeC,1.4001119533556814,14.0,2504704.0,DUF2502 family putative periplasmic protein,b2390,
nupC,1.5209855010045565,14.0,2506752.0,nucleoside (except guanosine) transporter,b2393,"frozenset({<Reaction THMDt2pp at 0x7fcfa65a1e10>, <Reaction ADNt2pp at 0x7fcfa6c09240>, <Reaction CYTDt2pp at 0x7fcfa6aa7940>, <Reaction DCYTt2pp at 0x7fcfa6abfe80>, <Reaction URIt2pp at 0x7fcfa6594898>, <Reaction DADNt2pp at 0x7fcfa6aa7eb8>, <Reaction DURIt2pp at 0x7fcfa6a86eb8>})"
yfeN,1.5603882393471322,15.0,2519040.0,putative outer membrane protein,b2408,
yfeH,1.3536947776911277,15.0,2521088.0,putative inorganic ion transporter,b2410,
ypeB,1.3766187053806203,15.0,2521299.0,DUF3820 family protein,b4546,
ligA,1.5001772558663735,15.0,2523136.0,"DNA ligase, NAD(+)-dependent",b2411,frozenset({<Reaction NADDP at 0x7fcfa67bbeb8>})
zipA,1.3895297355618412,15.0,2523605.0,FtsZ stabilizer,b2412,
cysZ,1.3586748125149184,15.0,2525184.0,"sulfate transporter, sulfite inhibited",b2413,
cysK,1.422502047288875,15.0,2525767.0,"cysteine synthase A, O-acetylserine sulfhydrolase A subunit",b2414,frozenset({<Reaction CYSS at 0x7fcfa6a9a710>})
ptsH,1.47528243040863,15.0,2527232.0,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),b2415,"frozenset({<Reaction MANptspp at 0x7fcfa67db400>, <Reaction GALTptspp at 0x7fcfa696c048>, <Reaction FRUptspp at 0x7fcfa69a64a8>, <Reaction ARBTptspp at 0x7fcfa6b658d0>, <Reaction ACGAptspp at 0x7fcfa6c4df98>, <Reaction FRUpts2pp at 0x7fcfa69a6518>, <Reaction ACMANAptspp at 0x7fcfa6bdbd30>, <Reaction MANGLYCptspp at 0x7fcfa67db160>, <Reaction MNLptspp at 0x7fcfa67a2588>, <Reaction MALTptspp at 0x7fcfa6849588>, <Reaction SUCptspp at 0x7fcfa66049b0>, <Reaction SBTptspp at 0x7fcfa66511d0>, <Reaction ACMUMptspp at 0x7fcfa6bdbdd8>, <Reaction DHAPT at 0x7fcfa6a5a240>, <Reaction TREptspp at 0x7fcfa65cae48>, <Reaction GAMptspp at 0x7fcfa696ca90>, <Reaction GLCptspp at 0x7fcfa6990710>, <Reaction ASCBptspp at 0x7fcfa6b7b390>})"
ptsI,1.4111734553286521,15.0,2527424.0,PEP-protein phosphotransferase of PTS system (enzyme I),b2416,"frozenset({<Reaction MANptspp at 0x7fcfa67db400>, <Reaction GALTptspp at 0x7fcfa696c048>, <Reaction FRUptspp at 0x7fcfa69a64a8>, <Reaction CHTBSptspp at 0x7fcfa6b540b8>, <Reaction ARBTptspp at 0x7fcfa6b658d0>, <Reaction ACGAptspp at 0x7fcfa6c4df98>, <Reaction FRUpts2pp at 0x7fcfa69a6518>, <Reaction ACMANAptspp at 0x7fcfa6bdbd30>, <Reaction MANGLYCptspp at 0x7fcfa67db160>, <Reaction MNLptspp at 0x7fcfa67a2588>, <Reaction MALTptspp at 0x7fcfa6849588>, <Reaction SUCptspp at 0x7fcfa66049b0>, <Reaction SBTptspp at 0x7fcfa66511d0>, <Reaction ACMUMptspp at 0x7fcfa6bdbdd8>, <Reaction DHAPT at 0x7fcfa6a5a240>, <Reaction TREptspp at 0x7fcfa65cae48>, <Reaction GAMptspp at 0x7fcfa696ca90>, <Reaction GLCptspp at 0x7fcfa6990710>, <Reaction ASCBptspp at 0x7fcfa6b7b390>})"
yfeK,1.3865884218837636,15.0,2530700.0,uncharacterized protein,b2419,
yfeS,1.5784548863778323,15.0,2531328.0,WGR domain protein,b2420,
cysM,1.5183289114113732,15.0,2532030.0,cysteine synthase B (O-acetylserine sulfhydrolase B),b2421,frozenset({<Reaction CYSS at 0x7fcfa6a9a710>})
cysU,1.3731574234643587,15.0,2535424.0,sulfate/thiosulfate ABC transporter permease,b2424,"frozenset({<Reaction SLNTtpp at 0x7fcfa65ea710>, <Reaction TSULabcpp at 0x7fcfa6555748>, <Reaction SULabcpp at 0x7fcfa6604d68>, <Reaction SELtpp at 0x7fcfa6651978>, <Reaction MOBDabcpp at 0x7fcfa67b1160>})"
ucpA,1.5410320757651093,15.0,2537472.0,"furfural resistance protein, putative short-chain oxidoreductase",b2426,
yfeW,1.4210852681369006,15.0,2541568.0,penicillin binding protein PBP4B; weak DD-carboxypeptidase activity,b2430,
yfeX,1.4672008514634274,15.0,2543616.0,"porphyrinogen oxidase, cytoplasmic",b2431,
yfeY,1.3808410262792263,15.0,2543999.0,RpoE-regulated lipoprotein,b2432,
yfeZ,1.3740228057674018,15.0,2544635.0,inner membrane protein,b2433,
eutR,1.4263819829269695,15.0,2547712.0,"eut operon transcriptional activator, AraC family",b2437,
eutL,1.3845466103303397,15.0,2549099.0,putative ethanol utilization carboxysome structural protein,b2439,
yffL,1.5151159978525375,15.0,2553856.0,CPZ-55 prophage; uncharacterized protein,b2443,
yffM,1.3653823758834476,15.0,2554880.0,CPZ-55 prophage; uncharacterized protein,b2444,
yffO,1.413210204865442,15.0,2555469.0,CPZ-55 prophage; uncharacterized protein,b2446,
yffQ,1.6855041551432317,15.0,2556950.0,CPZ-55 prophage; uncharacterized protein,b2448,
yffR,1.600950021447813,15.0,2557338.0,CPZ-55 prophage; uncharacterized protein,b2449,
eutN,1.3833473600676027,16.0,2565121.0,Ethanolamine catabolic microcompartment shell protein,b2456,
eutQ,1.416690062067729,16.0,2568192.0,RmlC-like cupin domain protein,b2460,
maeB,1.36283956791279,16.0,2569456.0,malic enzyme: putative oxidoreductase/phosphotransacetylase,b2463,frozenset({<Reaction ME2 at 0x7fcfa67e7f98>})
tktB,1.4319723455958855,16.0,2572994.0,"transketolase 2, thiamine triphosphate-binding",b2465,"frozenset({<Reaction TKT2 at 0x7fcfa65bb2b0>, <Reaction TKT1 at 0x7fcfa65bb5f8>})"
ypfG,1.5430596087071697,16.0,2575092.0,DUF1176 family protein,b2466,
nudK,1.376547999097156,16.0,2576384.0,GDP-mannose pyrophosphatase,b2467,frozenset({<Reaction GDPMNP at 0x7fcfa69799e8>})
narQ,1.417472836254773,16.0,2580480.0,sensory histidine kinase in two-component regulatory system with NarP,b2469,
ypfM,1.560378897159453,16.0,2584192.0,stress-induced small enterobacterial protein,b4606,
yffB,1.529489620896485,16.0,2584605.0,putative ArsC family reductase,b2471,
ypfN,1.4428660281811687,16.0,2586120.0,"putative membrane protein, UPF0370 family",b4547,
ypfH,1.4020558802704568,16.0,2586624.0,"palmitoyl-CoA esterase activity, uncertain physiological substrate",b2473,
gcvR,1.4789705356890102,17.0,2593264.0,"transcriptional repressor, regulatory protein accessory to GcvA",b2479,
bcp,1.49444953159172,17.0,2593836.0,"peroxiredoxin; thiol peroxidase, thioredoxin-dependent",b2480,frozenset({<Reaction THIORDXi at 0x7fcfa65a1a58>})
hyfA,1.4723278712721626,17.0,2594816.0,"hydrogenase 4, 4Fe-4S subunit",b2481,frozenset({<Reaction FHL at 0x7fcfa6a0e630>})
hyfJ,1.4090882604219217,18.0,2605056.0,putative processing element hydrogenase 4,b2490,frozenset({<Reaction FHL at 0x7fcfa6a0e630>})
yfgD,1.5531527149894013,18.0,2611200.0,putative oxidoreductase,b2495,
hda,1.500842811881261,18.0,2611433.0,ATPase regulatory factor involved in DnaA inactivation,b2496,
purN,1.4252612577903288,18.0,2615592.0,phosphoribosylglycinamide formyltransferase 1,b2500,frozenset({<Reaction GARFT at 0x7fcfa6979320>})
ppx,1.500219934124048,18.0,2618473.0,exopolyphosphatase,b2502,"frozenset({<Reaction PPA at 0x7fcfa66c6550>, <Reaction PPA2 at 0x7fcfa66c6668>})"
yfgF,1.4538142608795916,18.0,2621440.0,"cyclic-di-GMP phosphodiesterase, anaerobic",b2503,
yfgG,1.8994784141709655,18.0,2622648.0,uncharacterized protein,b2504,
yfgH,1.7327139092756825,18.0,2623488.0,outer membrane integrity lipoprotein,b2505,
yfgI,1.3955266533679505,18.0,2623684.0,"nalidixic acid resistance protein, putative periplasmic protein",b2506,
guaB,1.4024629698067823,18.0,2625962.0,IMP dehydrogenase,b2508,frozenset({<Reaction IMPD at 0x7fcfa68cd208>})
xseA,1.3705854040274152,18.0,2627590.0,"exonuclease VII, large subunit",b2509,
bamB,1.468149753868343,18.0,2631680.0,BamABCDE complex OM biogenesis lipoprotein,b2512,
yfgM,1.4003763319257774,18.0,2632021.0,ancillary SecYEG translocon subunit; putative anti-RcsB factor,b2513,
rodZ,1.4591399862836303,18.0,2635776.0,MreB assembly cytoskeletal protein,b2516,
yfhM,1.4133644932246388,18.0,2640684.0,bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein,b2520,
sseB,1.5759877449797812,18.0,2648064.0,"rhodanase-like enzyme, sulfur transfer from thiosulfate",b2522,
pepB,1.4658789580998353,18.0,2648433.0,aminopeptidase B,b2523,"frozenset({<Reaction AMPTASECG at 0x7fcfa6bd0a90>, <Reaction AMPTASEPG at 0x7fcfa6bd0c50>})"
iscX,1.3773006029478996,18.0,2649894.0,Fe(2+) donor and activity modulator for cysteine desulfurase,b2524,
fdx,1.5027367650533716,18.0,2650112.0,[2Fe-2S] ferredoxin,b2525,
hscB,1.421598526579498,18.0,2652310.0,"HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB",b2527,
trmJ,1.3816131101034808,18.0,2656256.0,"tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent",b2532,
suhB,1.4108477714444232,18.0,2656800.0,inositol monophosphatase,b2533,"frozenset({<Reaction MI1PP at 0x7fcfa68038d0>, <Reaction G2PP at 0x7fcfa69b3d68>})"
yfhR,1.3940471458559793,18.0,2658304.0,putative S9 family prolyl oligopeptidase,b2534,
hcaR,1.4010563791843933,18.0,2661364.0,hca operon transcriptional regulator,b2537,
hcaE,1.4240025056701493,18.0,2662400.0,"3-phenylpropionate dioxygenase, large (alpha) subunit",b2538,"frozenset({<Reaction PPPNDO at 0x7fcfa66d2be0>, <Reaction CINNDO at 0x7fcfa6b54160>})"
hcaD,1.4485672384305572,18.0,2666496.0,"phenylpropionate dioxygenase, ferredoxin reductase subunit",b2542,"frozenset({<Reaction PPPNDO at 0x7fcfa66d2be0>, <Reaction CINNDO at 0x7fcfa6b54160>})"
yphA,1.5872595514324288,18.0,2666704.0,DoxX family inner membrane protein,b2543,
yphB,1.5044408629825397,18.0,2667174.0,"mutarotase superfamily protein, YphB family",b2544,
yphC,1.4412390860786277,18.0,2668544.0,putative Zn-dependent NAD(P)-binding oxidoreductase,b2545,
yphF,1.452363839634991,18.0,2672640.0,putative sugar ABC transporter periplasmic binding protein,b2548,
glnB,1.4523761802757418,18.0,2680428.0,regulatory protein P-II for glutamine synthetase,b2553,
glrR,1.3960780523778396,18.0,2680832.0,response regulator regulating glmY sRNA in two-component system with sensor protein GlrK,b2554,
yfhG,1.4395243535434208,18.0,2682151.0,putative outer membrane protein modulating the QseEF response,b2555,
tadA,1.4013064646954876,18.0,2691072.0,tRNA-specific adenosine deaminase,b2559,
yfhH,1.3825850165082794,18.0,2692117.0,putative DNA-binding transcriptional regulator,b2561,
yfhL,1.559420517561303,18.0,2693120.0,putative 4Fe-4S cluster-containing protein,b2562,
shoB,1.890630421732132,18.0,2693504.0,toxic membrane protein,b4687,
acpS,1.4468371112063825,18.0,2693976.0,holo-[acyl-carrier-protein] synthase 1,b2563,frozenset({<Reaction ACPS1 at 0x7fcfa6bf3588>})
recO,1.4680786595647792,18.0,2695168.0,gap repair protein,b2565,
rnc,1.439492429012836,18.0,2697216.0,RNase III,b2567,
lepB,1.3736172110961495,18.0,2697693.0,leader peptidase (signal peptidase I),b2568,
rseC,1.4246199774619348,18.0,2700680.0,SoxR iron-sulfur cluster reduction factor component,b2570,
rseA,1.5248865485154417,18.0,2702112.0,anti-sigma factor,b2572,
rpoE,1.4901767358988915,18.0,2703360.0,RNA polymerase sigma E factor,b2573,
nadB,1.48167631915454,18.0,2703778.0,"quinolinate synthase, L-aspartate oxidase (B protein) subunit",b2574,"frozenset({<Reaction ASPO4 at 0x7fcfa6b8b898>, <Reaction ASPO3 at 0x7fcfa6b8b6a0>, <Reaction ASPO6 at 0x7fcfa6b8ba58>, <Reaction ASPO5 at 0x7fcfa6b8b978>})"
trmN,1.4457981045622292,18.0,2705408.0,tRNA1(Val) (adenine(37)-N6)-methyltransferase,b2575,
yfiE,1.434281289029446,18.0,2707797.0,putative DNA-binding transcriptional regulator,b2577,
grcA,1.6366483714027669,18.0,2709504.0,autonomous glycyl radical cofactor,b2579,"frozenset({<Reaction PFL at 0x7fcfa66f1ac8>, <Reaction OBTFL at 0x7fcfa6731860>})"
ung,1.4979430259873507,18.0,2710112.0,uracil-DNA-glycosylase,b2580,
yfiF,1.4764352907782674,18.0,2711552.0,putative methyltransferase,b2581,
trxC,1.5077309984919354,18.0,2712093.0,thioredoxin 2,b2582,"frozenset({<Reaction DSBDR at 0x7fcfa6a86208>, <Reaction RNDR1 at 0x7fcfa6627c50>, <Reaction THIORDXi at 0x7fcfa65a1a58>, <Reaction TRDR at 0x7fcfa65ca860>, <Reaction RNDR2 at 0x7fcfa6627eb8>, <Reaction METSOXR1 at 0x7fcfa67f5f60>, <Reaction METSOXR2 at 0x7fcfa6803160>, <Reaction RNDR3 at 0x7fcfa6627f98>, <Reaction PAPSR at 0x7fcfa66e53c8>, <Reaction RNDR4 at 0x7fcfa6630198>})"
pka,1.440957143306608,18.0,2713311.0,protein lysine acetyltransferase,b2584,
pssA,1.4066705604818932,18.0,2716085.0,phosphatidylserine synthase; CDP-diacylglycerol-serine O-phosphatidyltransferase,b2585,"frozenset({<Reaction PSSA141 at 0x7fcfa6676438>, <Reaction PSSA140 at 0x7fcfa6676358>, <Reaction PSSA180 at 0x7fcfa6676668>, <Reaction PSSA161 at 0x7fcfa6676588>, <Reaction PSSA120 at 0x7fcfa6676198>, <Reaction PSSA160 at 0x7fcfa66764a8>, <Reaction PSSA181 at 0x7fcfa66767b8>})"
yfiM,1.51917465938883,18.0,2717696.0,putative lipoprotein,b2586,
rluD,1.478034369416645,18.0,2728389.0,"23S rRNA pseudouridine(1911,1915,1917) synthase",b2594,
raiA,1.600083194797098,18.0,2730512.0,cold shock protein associated with 30S ribosomal subunit,b2597,
pheL,1.602663974143545,18.0,2730957.0,pheA gene leader peptide,b2598,
pheA,1.4243316596261824,18.0,2732032.0,"chorismate mutase and prephenate dehydratase, P-protein",b2599,"frozenset({<Reaction PPNDH at 0x7fcfa66d29b0>, <Reaction CHORM at 0x7fcfa6b46dd8>})"
aroF,1.5253390203703312,18.0,2734080.0,"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible",b2601,frozenset({<Reaction DDPA at 0x7fcfa6ace7f0>})
yfiL,1.6175921391651742,18.0,2734718.0,lipoprotein,b2602,
yfiR,1.5885391128828001,18.0,2735233.0,putative periplasmic inhibitor of YfiN activity,b2603,
yfiN,1.4623219019423739,18.0,2736128.0,putative membrane-anchored diguanylate cyclase,b2604,
yfiB,1.394582628204243,18.0,2736983.0,OM lipoprotein putative positive effector of YfiN activity,b2605,
rplS,1.420236417635682,18.0,2737541.0,50S ribosomal subunit protein L19,b2606,
trmD,1.4001906675810725,18.0,2738176.0,"tRNA m(1)G37 methyltransferase, SAM-dependent",b2607,
rpsP,1.6223463033760859,18.0,2739295.0,30S ribosomal subunit protein S16,b2609,
recN,1.4464777308245131,19.0,2745153.0,recombination and repair protein,b2616,
ratB,1.4212501263652717,19.0,2747392.0,UPF0125 family protein,b2618,
ratA,1.5235962365177853,19.0,2747646.0,toxic UPF0083 family protein inhibitor of 70S ribosome formation,b2619,
smpB,1.5793037903315825,19.0,2748416.0,tmRNA-binding trans-translation protein,b2620,
intA,1.476125226723163,19.0,2750464.0,CP4-57 prophage; integrase,b2622,
yfjH,1.6728378974338034,19.0,2751002.0,CP4-57 prophage; uncharacterized protein,b2623,
alpA,1.7262981240480344,19.0,2752002.0,CP4-57 prophage; DNA-binding transcriptional activator,b2624,
yfjI,1.8197611602201573,19.0,2752512.0,CP4-57 prophage; uncharacterized protein,b2625,
yfjJ,1.6791384408206846,19.0,2753905.0,CP4-57 prophage; uncharacterized protein,b2626,
yfjK,1.4791602210274766,19.0,2754709.0,radiation resistance protein; DEAD/H helicase-like protein; CP4-57 putative defective prophage,b2627,
yfjL,1.4316883553061714,19.0,2756895.0,"CP4-57 putative defective prophage, DUF4297/DUF1837 polymorphic toxin family protein",b2628,
yfjM,1.8269752083882225,19.0,2758871.0,CP4-57 prophage; uncharacterized protein,b2629,
rnlA,1.532550398938118,19.0,2759276.0,CP4-57 prophage; RNase LS,b2630,
rnlB,1.602721609414309,19.0,2760704.0,CP4-57 prophage; uncharacterized protein,b2631,
yfjP,1.429371258412573,19.0,2761068.0,CP4-57 prophage; 50S ribosome-binding GTPase family protein,b2632,
yfjQ,1.383674485804526,19.0,2762752.0,CP4-57 prophage; uncharacterized protein,b2633,
yfjR,1.4685907054925276,19.0,2763061.0,CP4-57 prophage; putative DNA-binding transcriptional regulator,b2634,
yfjS,1.5121864645403544,19.0,2764039.0,CP4-57 prophage; uncharacterized protein,b2636,
yfjT,1.5126115729246246,19.0,2764800.0,CP4-57 prophage; putative periplasmic protein,b2637,
yfjU,1.462519481217257,19.0,2765360.0,No_gene_product,b2638,
yfjV,1.376977868461343,19.0,2765525.0,No_gene_product,b2641,
yfjW,1.712751129537162,19.0,2766676.0,CP4-57 prophage; putative inner membrane protein,b2642,
ypjI,1.468504320199402,19.0,2768903.0,No_gene_product,b4644,
yfjY,1.3991103977982005,19.0,2769744.0,CP4-57 prophage; putative DNA repair protein,b2644,
yfjZ,1.3711017680815771,19.0,2770473.0,CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system,b2645,
ypjF,1.6263457829435986,19.0,2770944.0,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,b2646,
ypjA,1.4534206676215624,19.0,2771504.0,adhesin-like autotransporter,b2647,
pinH,1.7245164635934778,19.0,2776576.0,No_gene_product,b2648,
ypjC,2.0411788696179722,19.0,2777088.0,No_gene_product,b2650,
ygaQ,1.6890874359062533,19.0,2779755.0,No_gene_product,b4462,
csiD,1.4441013295502119,19.0,2783232.0,carbon starvation protein,b2659,
lhgO,1.4172012576074173,19.0,2783340.0,L-2-hydroxyglutarate oxidase,b2660,
